userId	movie	rating
0	Toy Story (1995)	4
0	Grumpier Old Men (1995)	4
0	Seven (a.k.a. Se7en) (1995)	5
0	From Dusk Till Dawn (1996)	3
0	Bottle Rocket (1996)	5
0	Braveheart (1995)	4
0	Desperado (1995)	5
0	Billy Madison (1995)	5
0	Dumb & Dumber (Dumb and Dumber) (1994)	5
0	Star Wars: Episode IV - A New Hope (1977)	5
0	Pulp Fiction (1994)	3
0	Tommy Boy (1995)	5
0	Clear and Present Danger (1994)	4
0	Forrest Gump (1994)	4
0	Jungle Book, The (1994)	5
0	Dazed and Confused (1993)	4
0	Jurassic Park (1993)	4
0	Schindler's List (1993)	5
0	Dances with Wolves (1990)	4
0	Batman (1989)	4
0	Pinocchio (1940)	5
0	James and the Giant Peach (1996)	5
0	Space Jam (1996)	3
0	Twister (1996)	3
0	She's the One (1996)	4
0	Escape to Witch Mountain (1975)	3
0	Winnie the Pooh and the Blustery Day (1968)	5
0	Sword in the Stone, The (1963)	5
0	Pete's Dragon (1977)	3
0	Bedknobs and Broomsticks (1971)	5
0	That Thing You Do! (1996)	4
0	Ghost and the Darkness, The (1996)	5
0	Swingers (1996)	4
0	Basic Instinct (1992)	5
0	Monty Python and the Holy Grail (1975)	5
0	Princess Bride, The (1987)	5
0	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	5
0	Star Wars: Episode VI - Return of the Jedi (1983)	5
0	Alien (1979)	4
0	Blues Brothers, The (1980)	5
0	Henry V (1989)	5
0	Quiet Man, The (1952)	5
0	Terminator, The (1984)	5
0	Shining, The (1980)	3
0	Back to the Future (1985)	5
0	Highlander (1986)	5
0	Indiana Jones and the Last Crusade (1989)	5
0	Sneakers (1992)	3
0	Last of the Mohicans, The (1992)	3
0	McHale's Navy (1997)	3
0	Grosse Pointe Blank (1997)	4
0	Con Air (1997)	4
0	Face/Off (1997)	5
0	Men in Black (a.k.a. MIB) (1997)	3
0	L.A. Confidential (1997)	5
0	Kiss the Girls (1997)	4
0	Game, The (1997)	5
0	I Know What You Did Last Summer (1997)	3
0	Starship Troopers (1997)	3
0	Wedding Singer, The (1998)	4
0	All Quiet on the Western Front (1930)	5
0	Rocky (1976)	5
0	Labyrinth (1986)	4
0	Back to the Future Part III (1990)	4
0	Saving Private Ryan (1998)	4
0	Black Cauldron, The (1985)	5
0	Flight of the Navigator (1986)	4
0	Honey, I Shrunk the Kids (1989)	4
0	Rescuers, The (1977)	5
0	Return to Oz (1985)	3
0	Tron (1982)	4
0	Charlotte's Web (1973)	5
0	American Tail, An (1986)	5
0	Legend (1985)	4
0	Beetlejuice (1988)	4
0	Willow (1988)	4
0	Toys (1992)	2
0	Rush Hour (1998)	4
0	Edward Scissorhands (1990)	5
0	I Still Know What You Did Last Summer (1998)	2
0	Enemy of the State (1998)	5
0	Very Bad Things (1998)	5
0	Psycho (1998)	2
0	Romancing the Stone (1984)	4
0	Young Sherlock Holmes (1985)	3
0	Howard the Duck (1986)	4
0	Crocodile Dundee (1986)	5
0	20 Dates (1998)	4
0	Go (1999)	5
0	Superman (1978)	4
0	Frankenstein (1931)	4
0	Wolf Man, The (1941)	5
0	Rocky Horror Picture Show, The (1975)	3
0	Ghostbusters (a.k.a. Ghost Busters) (1984)	5
0	Iron Giant, The (1999)	5
0	Big (1988)	4
0	13th Warrior, The (1999)	4
0	American Beauty (1999)	5
0	From Russia with Love (1963)	5
0	Fight Club (1999)	5
0	Spaceballs (1987)	5
0	Robin Hood (1973)	5
0	Talented Mr. Ripley, The (1999)	1
0	Sister Act (1992)	3
0	Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)	4
0	Good Morning, Vietnam (1987)	5
0	Predator (1987)	4
0	Gladiator (2000)	5
0	Road Trip (2000)	4
0	Shaft (1971)	5
0	Transformers: The Movie (1986)	4
1	Shawshank Redemption, The (1994)	3
1	Tommy Boy (1995)	4
1	Gladiator (2000)	4
1	Collateral (2004)	3.5
